List of genes that are upregulated in the fat body from 50-day-old wild-type flies ,,,,,,,,,
Chromtin name,Start site,End site,Strand,Symbol,logFC,PValue,FDR,Upregulation,Downregulation
chr2L,2307947,2308671,+,CG16995,5.781379735,2.01E-26,1.23E-24,TRUE,FALSE
chr2L,2311692,2358176,+,eys,2.693611104,6.51E-14,1.59E-12,TRUE,FALSE
chr2L,2562884,2564848,-,Cyp309a1,1.682282722,4.13E-09,5.90E-08,TRUE,FALSE
chr2L,2588853,2592775,+,CG15394,1.322068241,3.48E-06,3.31E-05,TRUE,FALSE
chr2L,2743365,2744934,-,CG9961,3.211424815,1.79E-07,2.05E-06,TRUE,FALSE
chr2L,2764075,2765686,-,CG3077,1.323836517,3.33E-06,3.17E-05,TRUE,FALSE
chr2L,2812436,2814429,+,CG2964,2.178101957,0.003304526,0.015885322,TRUE,FALSE
chr2L,2834886,2837831,-,CG3119,1.101894536,0.005324908,0.02392005,TRUE,FALSE
chr2L,2844600,2845711,-,CG18557,3.566941804,7.22E-17,2.35E-15,TRUE,FALSE
chr2L,2846083,2847197,-,CG3117,6.488528798,3.37E-37,3.85E-35,TRUE,FALSE
chr2L,2869651,2870649,+,CG8813,1.288935287,0.001430115,0.007688463,TRUE,FALSE
chr2L,2969772,2972676,-,Rrp1,1.19488604,1.61E-05,0.000136156,TRUE,FALSE
chr2L,2977126,2978501,+,CG3165,1.146036131,3.18E-05,0.000251067,TRUE,FALSE
chr2L,3013500,3016069,+,CG17265,1.441160007,4.25E-06,3.99E-05,TRUE,FALSE
chr2L,3016590,3018304,-,CG17224,1.599245813,2.56E-08,3.33E-07,TRUE,FALSE
chr2L,3018507,3021506,+,CG17264,2.352659313,4.27E-15,1.16E-13,TRUE,FALSE
chr2L,3163646,3168999,+,Hydr2,1.070511302,7.37E-05,0.000541005,TRUE,FALSE
chr2L,3275793,3280533,-,CG3332,1.831171303,3.33E-08,4.19E-07,TRUE,FALSE
chr2L,3291244,3294690,-,CG9664,1.154317376,2.84E-05,0.000228528,TRUE,FALSE
chr2L,3327902,3329792,+,CG33282,1.509843776,4.68E-07,5.05E-06,TRUE,FALSE
chr2L,3472734,3475338,+,pgant4,3.347135885,5.94E-14,1.46E-12,TRUE,FALSE
chr2L,3522593,3523960,-,Sr-CIV,2.012130505,1.63E-10,2.85E-09,TRUE,FALSE
chr2L,3539250,3548086,+,drm,1.08827975,8.57E-05,0.000619654,TRUE,FALSE
chr2L,3619190,3621573,+,Dot,1.121952902,5.08E-05,0.000383105,TRUE,FALSE
chr2L,3621089,3621681,-,CG15418,1.572092555,1.20E-06,1.22E-05,TRUE,FALSE
chr2L,3692698,3693182,-,CG3513,4.361240573,6.03E-30,4.48E-28,TRUE,FALSE
chr2L,3693478,3693889,-,Acp24A4,5.165738486,3.90E-09,5.58E-08,TRUE,FALSE
chr2L,3696239,3696661,-,CG16712,1.775761722,3.76E-10,6.12E-09,TRUE,FALSE
chr2L,3697241,3697872,-,CG3604,6.832219506,6.15E-67,2.32E-64,TRUE,FALSE
chr2L,3701306,3701604,+,CG42467,2.66535263,0.00292171,0.014277185,TRUE,FALSE
chr2L,3716799,3717773,-,lectin-24A,1.729591187,3.77E-07,4.12E-06,TRUE,FALSE
chr2L,4004079,4004480,+,CG34176,6.394730004,9.96E-26,5.86E-24,TRUE,FALSE
chr2L,4004983,4005670,+,CG15422,4.013288793,5.62E-24,3.02E-22,TRUE,FALSE
chr2L,4006040,4006606,+,CG15423,10.43239431,3.12E-33,2.79E-31,TRUE,FALSE
chr2L,4007689,4008999,+,CG10039,4.53615132,4.40E-15,1.19E-13,TRUE,FALSE
chr2L,4839218,4841465,+,CG12194,1.020183324,0.000153628,0.001061252,TRUE,FALSE
chr2L,5212394,5214730,-,CG7742,2.210550036,4.63E-07,5.00E-06,TRUE,FALSE
chr2L,5266391,5268455,+,Cyp4ac2,1.653211031,2.94E-09,4.24E-08,TRUE,FALSE
chr2L,5329856,5330466,+,TotM,6.991700396,4.12E-78,2.14E-75,TRUE,FALSE
chr2L,5718120,5720896,-,CG11149,3.093557169,5.28E-12,1.10E-10,TRUE,FALSE
chr2L,5746276,5747620,+,CG11029,4.925649129,7.12E-30,5.26E-28,TRUE,FALSE
chr2L,5805478,5808858,+,CG11034,2.507433484,5.13E-17,1.69E-15,TRUE,FALSE
chr2L,5903358,5904674,-,CG9021,3.447922104,1.58E-14,4.08E-13,TRUE,FALSE
chr2L,5907179,5921242,+,bchs,1.334144073,2.35E-06,2.29E-05,TRUE,FALSE
chr2L,5957003,5957628,+,Vm26Ab,10.61628061,1.62E-36,1.73E-34,TRUE,FALSE
chr2L,5959699,5960340,-,Vm26Aa,10.68142418,2.37E-37,2.73E-35,TRUE,FALSE
chr2L,5963086,5964322,-,psd,8.011547154,1.19E-12,2.63E-11,TRUE,FALSE
chr2L,5965518,5967632,-,CG13992,6.365531454,1.27E-17,4.37E-16,TRUE,FALSE
chr2L,5969870,5971025,+,Ucp4B,2.487557499,0.000108794,0.000771327,TRUE,FALSE
chr2L,5986323,5988858,+,ifc,1.482556861,1.49E-07,1.74E-06,TRUE,FALSE
chr2L,6020849,6021672,+,CG13996,2.879137718,0.000484501,0.002940148,TRUE,FALSE
chr2L,6067667,6068635,-,CG9150,2.096223108,2.20E-05,0.000182634,TRUE,FALSE
chr2L,6118511,6120524,+,CG31642,3.759771811,1.06E-14,2.79E-13,TRUE,FALSE
chr2L,6151970,6153701,+,Muc26B,6.778738474,2.39E-38,2.88E-36,TRUE,FALSE
chr2L,6527448,6546972,-,eya,1.003192805,0.000452068,0.002756643,TRUE,FALSE
chr2L,6617131,6621700,-,CG11320,1.364526058,0.001415067,0.007612988,TRUE,FALSE
chr2L,6623122,6625361,+,CG34345,5.558833162,0.002442981,0.012151902,TRUE,FALSE
chr2L,6804618,6805792,-,CG17375,6.26301416,7.70E-05,0.000562511,TRUE,FALSE
chr2L,6860902,6870387,-,Nha1,4.797324267,2.93E-39,3.70E-37,TRUE,FALSE
chr2L,6915682,6916387,-,CG32829,6.543448692,9.97E-06,8.76E-05,TRUE,FALSE
chr2L,7021681,7022473,+,Pcp,5.28400018,1.22E-40,1.63E-38,TRUE,FALSE
chr2L,7027593,7028959,+,CG3476,1.429501747,4.39E-07,4.76E-06,TRUE,FALSE
chr2L,7064430,7065833,-,Nuf2,1.364750016,2.71E-05,0.000219523,TRUE,FALSE
chr2L,7067982,7069546,+,CG11289,4.601823514,1.16E-16,3.73E-15,TRUE,FALSE
chr2L,7099691,7156701,-,Pvf3,1.351777616,1.54E-05,0.000130734,TRUE,FALSE
chr2L,7224850,7240500,-,Ndae1,1.021893898,0.000231014,0.001536759,TRUE,FALSE
chr2L,7257511,7258205,+,CG31909,1.536311974,1.38E-06,1.38E-05,TRUE,FALSE
chr2L,7307160,7316255,+,wg,1.871654048,0.003360933,0.016091558,TRUE,FALSE
chr2L,7377717,7384344,+,ninaC,5.219232751,0.009538267,0.039278281,TRUE,FALSE
chr2L,7390983,7398403,-,CG5160,1.408253575,0.000285218,0.001854719,TRUE,FALSE
chr2L,7410933,7412229,+,CG15818,1.662533158,7.53E-07,7.86E-06,TRUE,FALSE
chr2L,7430528,7433480,-,CG5958,1.744864719,1.70E-09,2.55E-08,TRUE,FALSE
chr2L,7466545,7472493,+,CG6055,2.077624496,1.88E-11,3.75E-10,TRUE,FALSE
chr2L,7496786,7497360,-,Pbprp5,5.219232751,0.009538267,0.039278281,TRUE,FALSE
chr2L,7581931,7583334,+,Spn7,6.064195353,0.000178595,0.001215346,TRUE,FALSE
chr2L,7605599,7607703,+,Cyp4d21,2.958419002,1.30E-15,3.79E-14,TRUE,FALSE
chr2L,7666046,7689459,+,Myo28B1,2.834009745,4.07E-18,1.44E-16,TRUE,FALSE
chr2L,7691108,7692683,-,CG7025,1.14981716,0.008815956,0.036786004,TRUE,FALSE
chr2L,7693799,7701585,-,TepII,1.799646818,2.05E-10,3.45E-09,TRUE,FALSE
chr2L,7719846,7722823,-,CG13794,2.802321385,1.38E-21,6.10E-20,TRUE,FALSE
chr2L,7723309,7726298,-,CG13795,1.202244114,1.27E-05,0.000109494,TRUE,FALSE
chr2L,7767648,7775033,+,CG7191,5.368402879,3.08E-11,6.00E-10,TRUE,FALSE
chr2L,7775803,7778027,-,CG7179,4.296760922,3.32E-05,0.000261812,TRUE,FALSE
chr2L,7781502,7782627,+,CG7164,3.227713298,0.004534193,0.020801835,TRUE,FALSE
chr2L,7892322,7984158,-,Snoo,1.255612827,5.40E-06,4.95E-05,TRUE,FALSE
chr2L,7998933,7999743,+,CG7224,1.044943306,0.000249553,0.001648383,TRUE,FALSE
chr2L,8147629,8148279,+,CG31606,4.931202245,3.54E-37,4.01E-35,TRUE,FALSE
chr2L,8213178,8214135,+,CG8360,1.179483787,2.26E-05,0.000186439,TRUE,FALSE
chr2L,8214304,8215239,+,CG8353,2.816101945,5.74E-20,2.21E-18,TRUE,FALSE
chr2L,8327457,8332911,+,CG14275,2.816265707,1.39E-20,5.56E-19,TRUE,FALSE
chr2L,8338311,8342056,+,CG14274,1.996780068,2.45E-05,0.000200906,TRUE,FALSE
chr2L,8342763,8344378,+,CG14273,7.727367361,3.21E-11,6.24E-10,TRUE,FALSE
chr2L,8352199,8355173,+,Mur29B,3.410173255,1.26E-24,7.07E-23,TRUE,FALSE
chr2L,8394509,8394897,-,Peritrophin-15b,8.00134837,1.62E-36,1.73E-34,TRUE,FALSE
chr2L,8395660,8396084,-,Peritrophin-15a,6.986060209,6.70E-50,1.31E-47,TRUE,FALSE
chr2L,8442446,8445660,+,CG31897,1.22459738,0.000483897,0.002937666,TRUE,FALSE
chr2L,8449690,8463990,-,fu12,1.167682035,1.96E-05,0.000163784,TRUE,FALSE
chr2L,8495107,8496304,-,Bace,4.26798946,5.88E-38,6.98E-36,TRUE,FALSE
chr2L,8519689,8521733,+,CG13091,5.491697944,8.45E-54,1.93E-51,TRUE,FALSE
chr2L,8933963,8936096,+,Tsp29Fa,1.073556372,0.000426989,0.002622811,TRUE,FALSE
chr2L,8985931,8989287,-,rost,1.670147215,1.98E-09,2.95E-08,TRUE,FALSE
chr2L,8997640,8998544,+,CG18661,2.05132424,1.41E-11,2.84E-10,TRUE,FALSE
chr2L,8998536,8999468,+,Try29F,1.770542188,0.000437319,0.002678625,TRUE,FALSE
chr2L,9010585,9011342,+,CG9568,3.955337616,2.46E-28,1.69E-26,TRUE,FALSE
chr2L,9012192,9012890,+,CG13102,1.79784965,4.48E-08,5.54E-07,TRUE,FALSE
chr2L,9012884,9014070,-,CG9573,3.141830792,0.006711071,0.029046115,TRUE,FALSE
chr2L,9256560,9291798,+,Ggamma30A,2.446367193,5.54E-13,1.26E-11,TRUE,FALSE
chr2L,9373024,9384845,-,Shawl,7.344159714,4.23E-09,6.04E-08,TRUE,FALSE
chr2L,9540630,9542480,+,CG17855,1.308263665,4.72E-05,0.000360749,TRUE,FALSE
chr2L,9544174,9544792,+,CG13113,6.133557599,0.000178595,0.001215346,TRUE,FALSE
chr2L,9589475,9591783,+,CG3841,3.192054021,4.28E-19,1.56E-17,TRUE,FALSE
chr2L,9598939,9600853,-,CG4382,7.314597338,8.43E-09,1.17E-07,TRUE,FALSE
chr2L,9736644,9737329,+,CG13117,1.581370053,3.66E-08,4.57E-07,TRUE,FALSE
chr2L,9940768,9947442,-,CG5853,1.120580547,7.05E-05,0.000519523,TRUE,FALSE
chr2L,10101154,10125736,+,CG34109,8.248629856,9.32E-51,1.95E-48,TRUE,FALSE
chr2L,10234584,10238317,-,CG31720,2.277994276,9.33E-11,1.69E-09,TRUE,FALSE
chr2L,10300221,10301955,-,CG13138,2.619684066,1.89E-05,0.000158508,TRUE,FALSE
chr2L,10344458,10347706,+,CG5022,4.697112781,2.40E-26,1.46E-24,TRUE,FALSE
chr2L,10354742,10356597,-,CG5367,2.526906295,1.53E-09,2.32E-08,TRUE,FALSE
chr2L,10382252,10384729,+,CG5096,1.943193583,2.40E-10,4.01E-09,TRUE,FALSE
chr2L,10450133,10452201,-,ppk10,1.21092442,0.011289116,0.045180433,TRUE,FALSE
chr2L,10529417,10531560,+,Lip4,1.282926946,4.30E-06,4.03E-05,TRUE,FALSE
chr2L,10662086,10671489,+,CG31871,1.816234931,0.000230094,0.001531926,TRUE,FALSE
chr2L,10688733,10689269,-,CG7294,1.031770021,0.006246211,0.027349843,TRUE,FALSE
chr2L,10699407,10701458,-,Lip1,7.088733316,4.93E-08,6.05E-07,TRUE,FALSE
chr2L,10724273,10728740,+,CG6431,5.341532656,0.006031936,0.026565884,TRUE,FALSE
chr2L,10761146,10764972,+,CG6495,2.709929477,5.16E-20,1.99E-18,TRUE,FALSE
chr2L,10770866,10771370,+,CG17127,2.897629749,1.44E-10,2.54E-09,TRUE,FALSE
chr2L,10772037,10801107,-,CG31869,1.558861321,4.59E-08,5.68E-07,TRUE,FALSE
chr2L,10845782,10847044,-,Porin2,1.454776769,0.009235612,0.038335544,TRUE,FALSE
chr2L,10937333,10937932,+,CG14072,5.747647476,0.001005722,0.005586111,TRUE,FALSE
chr2L,10982204,10987416,-,piwi,1.41143413,4.84E-07,5.20E-06,TRUE,FALSE
chr2L,10997818,11001489,-,aub,1.362561894,8.97E-07,9.25E-06,TRUE,FALSE
chr2L,11002071,11002740,+,lectin-33A,2.165597574,1.06E-12,2.36E-11,TRUE,FALSE
chr2L,11015641,11016573,+,Acp32CD,3.227713298,0.004534193,0.020801835,TRUE,FALSE
chr2L,11529523,11531049,-,CG31706,2.124663649,6.75E-06,6.07E-05,TRUE,FALSE
chr2L,11839911,11840332,+,Sfp33A3,1.87877642,0.000108408,0.000768955,TRUE,FALSE
chr2L,11840690,11841012,+,CG31704,1.842560996,1.84E-10,3.20E-09,TRUE,FALSE
chr2L,11847225,11849169,+,CG14934,3.087177705,5.69E-24,3.04E-22,TRUE,FALSE
chr2L,11944140,11946805,+,Cry,1.690544453,1.99E-05,0.000165786,TRUE,FALSE
chr2L,11956227,11971094,-,bft,1.807953385,0.002684274,0.013241367,TRUE,FALSE
chr2L,12027439,12034123,+,l(2)01810,2.466043863,3.32E-17,1.10E-15,TRUE,FALSE
chr2L,12109456,12110522,+,CG16996,1.242099306,0.000168992,0.001159945,TRUE,FALSE
chr2L,12111132,12111995,+,CG16997,2.232011324,5.89E-10,9.45E-09,TRUE,FALSE
chr2L,12125097,12129629,+,CG17211,1.555196035,0.000638882,0.003760475,TRUE,FALSE
chr2L,12338869,12339418,+,CG31862,7.896535745,3.83E-12,8.08E-11,TRUE,FALSE
chr2L,12441399,12445911,-,Oatp33Ea,2.094025593,2.24E-11,4.44E-10,TRUE,FALSE
chr2L,12446223,12448113,-,CG5421,6.979945323,1.47E-07,1.71E-06,TRUE,FALSE
chr2L,12448485,12452053,+,Oatp33Eb,1.121004603,0.000311865,0.002009799,TRUE,FALSE
chr2L,12453663,12454951,+,CG17024,5.558833162,0.002442981,0.012151902,TRUE,FALSE
chr2L,12587870,12628143,+,nub,2.432517111,1.45E-12,3.17E-11,TRUE,FALSE
chr2L,12657828,12686308,+,pdm2,2.24630718,3.43E-06,3.26E-05,TRUE,FALSE
chr2L,12699060,12700746,-,CG17036,2.081539371,3.92E-08,4.88E-07,TRUE,FALSE
chr2L,12706798,12707590,-,CG15484,1.468881122,0.000139653,0.000972227,TRUE,FALSE
chr2L,13142480,13142902,-,CG9928,1.952738153,5.89E-12,1.22E-10,TRUE,FALSE
chr2L,13160526,13163153,+,CG5204,1.275151918,0.010711278,0.043204745,TRUE,FALSE
chr2L,13183449,13184877,+,CG5458,1.146322906,0.000171851,0.001177424,TRUE,FALSE
chr2L,13212334,13215152,-,kek4,5.015801978,2.44E-36,2.57E-34,TRUE,FALSE
chr2L,13411176,13411631,-,Vm34Ca,5.77988716,1.91E-20,7.63E-19,TRUE,FALSE
chr2L,13550140,13638238,+,kuz,1.052058107,0.000203959,0.001370634,TRUE,FALSE
chr2L,13676859,13717310,-,CG31814,1.279079735,0.000760181,0.004390472,TRUE,FALSE
chr2L,13821202,13823894,+,b,1.153540829,1.23E-05,0.000106762,TRUE,FALSE
chr2L,13844376,13845309,-,CG8997,2.040918753,7.39E-11,1.35E-09,TRUE,FALSE
chr2L,13846757,13847799,+,CG7916,4.150471096,9.51E-31,7.35E-29,TRUE,FALSE
chr2L,13847939,13849165,+,CG7953,6.051276475,5.58E-44,8.68E-42,TRUE,FALSE
chr2L,13849411,13850327,+,CG7968,2.22521532,3.01E-09,4.33E-08,TRUE,FALSE
chr2L,13914724,13955745,+,Ance-3,1.413202504,7.08E-07,7.45E-06,TRUE,FALSE
chr2L,13930592,13931224,-,CG42711,1.023165766,0.000128788,0.000901219,TRUE,FALSE
chr2L,13957894,13962981,+,nimA,3.587147338,1.35E-07,1.59E-06,TRUE,FALSE
chr2L,14274794,14278002,+,CG32971,5.833529982,0.000649138,0.003807468,TRUE,FALSE
chr2L,14345934,14346654,-,CG18125,2.047155085,1.61E-10,2.83E-09,TRUE,FALSE
chr2L,14587987,14588234,-,CG42680,2.66535263,0.000256099,0.00168498,TRUE,FALSE
chr2L,14712664,14713266,+,CG15282,3.537653289,1.09E-06,1.11E-05,TRUE,FALSE
chr2L,14713776,14714355,+,CG34165,8.531801712,9.09E-17,2.94E-15,TRUE,FALSE
chr2L,14743252,14743859,+,CG34166,1.757395217,5.83E-10,9.36E-09,TRUE,FALSE
chr2L,14744434,14744817,+,CG42681,2.499920878,1.87E-06,1.84E-05,TRUE,FALSE
chr2L,14773811,14774981,-,CG4650,3.811353854,9.65E-16,2.84E-14,TRUE,FALSE
chr2L,14783341,14784586,-,CG18636,10.09255282,6.43E-31,5.02E-29,TRUE,FALSE
chr2L,15061655,15074311,+,vas,1.788267802,1.69E-09,2.54E-08,TRUE,FALSE
chr2L,15069033,15072043,+,CG33678,2.195393958,3.42E-07,3.77E-06,TRUE,FALSE
chr2L,15333863,15336140,+,esg,2.267704636,2.74E-08,3.55E-07,TRUE,FALSE
chr2L,15610731,15611969,-,CG15255,2.027007239,2.24E-08,2.94E-07,TRUE,FALSE
chr2L,15630083,15632618,+,CG18480,1.04176908,0.000908149,0.005128186,TRUE,FALSE
chr2L,15647834,15679240,-,CG4587,1.039738475,0.00013246,0.000924766,TRUE,FALSE
chr2L,15810979,15812141,-,CG42876,5.460979491,6.00E-37,6.70E-35,TRUE,FALSE
chr2L,15865091,15865423,-,CG42792,5.062424482,2.36E-13,5.52E-12,TRUE,FALSE
chr2L,15888638,15893811,-,TepI,7.820517103,2.57E-90,2.77E-87,TRUE,FALSE
chr2L,15900984,15902377,-,CG31821,1.557098998,3.02E-05,0.00024226,TRUE,FALSE
chr2L,15923394,15926203,+,CG4793,3.883481561,1.86E-16,5.83E-15,TRUE,FALSE
chr2L,16301655,16302952,-,CG5869,1.107033887,7.28E-05,0.000534954,TRUE,FALSE
chr2L,16365918,16366977,+,jhamt,3.096992863,1.40E-12,3.07E-11,TRUE,FALSE
chr2L,16450906,16453176,+,Idgf3,1.743099246,1.02E-09,1.60E-08,TRUE,FALSE
chr2L,16488202,16490115,+,CG4580,1.382005479,0.002245823,0.011357145,TRUE,FALSE
chr2L,16509119,16532877,-,CG5953,1.080708221,0.000110613,0.000781517,TRUE,FALSE
chr2L,16528822,16528922,-,snoRNA:Me28S-C1237,5.747647476,0.001564331,0.0083269,TRUE,FALSE
chr2L,16664766,16676666,-,trpgamma,1.4251231,0.000841711,0.004789811,TRUE,FALSE
chr2L,16758349,16760138,-,CG13278,2.178902709,0.000809351,0.004623114,TRUE,FALSE
chr2L,16794210,16795827,+,Ugt36Ba,2.768867144,7.91E-15,2.11E-13,TRUE,FALSE
chr2L,16898173,16900431,-,CG31805,3.919360202,1.41E-06,1.41E-05,TRUE,FALSE
chr2L,17435890,17436600,-,CG33928,6.941780029,2.12E-07,2.41E-06,TRUE,FALSE
chr2L,17436829,17450360,-,dl,1.006251404,0.00019745,0.001330448,TRUE,FALSE
chr2L,17452923,17458775,+,CG5050,4.56062475,8.82E-29,6.19E-27,TRUE,FALSE
chr2L,17454262,17455917,-,CG6639,7.332275175,3.38E-82,2.31E-79,TRUE,FALSE
chr2L,17456669,17458025,-,CG18563,5.806466447,3.20E-56,9.11E-54,TRUE,FALSE
chr2L,18007934,18008962,+,CG42634,6.688792517,2.06E-06,2.02E-05,TRUE,FALSE
chr2L,18007934,18008962,+,CG42635,6.688792517,2.06E-06,2.02E-05,TRUE,FALSE
chr2L,18008787,18009694,+,CG31740,4.176272695,4.33E-08,5.37E-07,TRUE,FALSE
chr2L,18090940,18092238,-,CG15153,3.885737319,0.000143151,0.000993044,TRUE,FALSE
chr2L,18114546,18115220,+,CG15152,2.841493728,9.47E-17,3.06E-15,TRUE,FALSE
chr2L,18138667,18152410,-,Socs36E,3.034223528,4.97E-23,2.51E-21,TRUE,FALSE
chr2L,18160420,18275770,-,CG42750,1.87285379,0.000138797,0.000967216,TRUE,FALSE
chr2L,18320100,18392575,+,Fas3,1.140118547,2.28E-05,0.000188454,TRUE,FALSE
chr2L,18356113,18359026,-,Acp36DE,5.656327027,0.001564331,0.0083269,TRUE,FALSE
chr2L,18454721,18455331,+,Ntf-2r,5.833529982,0.000649138,0.003807468,TRUE,FALSE
chr2L,18617256,18661785,+,MESR3,1.262437063,3.09E-06,2.96E-05,TRUE,FALSE
chr2L,18651056,18652984,-,Cyp310a1,1.629005112,0.000294404,0.001907869,TRUE,FALSE
chr2L,18666891,18670039,-,CG31790,5.833529982,0.000649138,0.003807468,TRUE,FALSE
chr2L,18690901,18695422,-,CG10383,1.383149952,3.20E-07,3.55E-06,TRUE,FALSE
chr2L,18698685,18700647,+,CG10341,1.224380047,5.60E-06,5.13E-05,TRUE,FALSE
chr2L,18819343,18822573,+,CG17324,2.719118062,1.99E-10,3.37E-09,TRUE,FALSE
chr2L,18993616,18995930,-,CG10650,1.121356967,0.000175942,0.001203268,TRUE,FALSE
chr2L,19110158,19114110,+,amd,1.908687678,0.000901801,0.005100961,TRUE,FALSE
chr2L,19116480,19120300,-,Ddc,1.426569992,2.97E-07,3.31E-06,TRUE,FALSE
chr2L,19390368,19398492,-,CG17544,2.32794995,4.48E-15,1.21E-13,TRUE,FALSE
chr2L,19394159,19396190,+,CG31798,1.713794673,4.21E-06,3.95E-05,TRUE,FALSE
chr2L,19418316,19419029,+,lectin-37Da,4.542329916,9.16E-37,1.01E-34,TRUE,FALSE
chr2L,19419074,19419767,+,lectin-37Db,2.645845606,1.09E-13,2.63E-12,TRUE,FALSE
chr2L,19545375,19546914,-,CG10337,1.222486753,4.29E-05,0.000330571,TRUE,FALSE
chr2L,19563929,19565160,+,CG13078,1.96788923,0.008423687,0.035276092,TRUE,FALSE
chr2L,19565862,19567359,+,CG13077,2.375885925,2.61E-16,8.07E-15,TRUE,FALSE
chr2L,19758878,19760986,+,CG10463,1.092907709,0.000134266,0.000936939,TRUE,FALSE
chr2L,19813744,19814536,-,CG13962,3.192199584,2.65E-11,5.18E-10,TRUE,FALSE
chr2L,19827273,19828890,+,CG13958,3.023026664,1.31E-06,1.32E-05,TRUE,FALSE
chr2L,19960068,19961030,-,CG34051,3.166267609,6.98E-12,1.43E-10,TRUE,FALSE
chr2L,19961250,19961662,-,CG42866,3.820115607,8.00E-13,1.81E-11,TRUE,FALSE
chr2L,19961836,19962298,-,CG13965,2.514346704,3.02E-15,8.32E-14,TRUE,FALSE
chr2L,19962677,19963844,+,CG16772,3.539130634,1.83E-30,1.39E-28,TRUE,FALSE
chr2L,20024974,20025811,-,CG10659,2.314074952,8.46E-06,7.52E-05,TRUE,FALSE
chr2L,20093963,20096253,+,CG10722,1.266718257,0.00016437,0.001130791,TRUE,FALSE
chr2L,20263894,20264299,-,CG17570,5.747647476,0.001564331,0.0083269,TRUE,FALSE
chr2L,20311218,20348386,+,spir,2.138039773,2.08E-13,4.88E-12,TRUE,FALSE
chr2L,20372472,20373967,-,Ugt37a1,1.098451711,0.000229686,0.001530563,TRUE,FALSE
chr2L,20447733,20449973,-,CG31683,6.53411153,7.03E-33,6.06E-31,TRUE,FALSE
chr2L,20447939,20449965,-,CG18858,6.53411153,7.03E-33,6.06E-31,TRUE,FALSE
chr2L,20456850,20459090,-,CG31683,1.056669084,0.000387708,0.002406026,TRUE,FALSE
chr2L,20457056,20459082,-,CG18858,1.056669084,0.000387708,0.002406026,TRUE,FALSE
chr2L,20643347,20645789,-,phr6-4,1.102629325,0.000177782,0.001215303,TRUE,FALSE
